park_id,park_name,geometry_source,match_method,polygon_count,source_ids,source_names,note,geometry_type,area_m2
86,선유도근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0023,근린공원(선유도공원),자동 매칭 high,Polygon,113920.58
87,손기정체육공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0134,체육공원(손기정),자동 매칭 high,Polygon,29781.39
88,성북근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0439,근린공원(성북<시공원>),자동 매칭 high,Polygon,115432.34
89,봉제산공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1149,근린공원(봉제산<시공원>),자동 매칭 high,Polygon,901067.28
91,북서울꿈의숲,seoul_shapefile,manual_alias,1,생활서비스시설_공원_0516,근린공원(오동<시공원>),북서울꿈의숲은 오동근린공원 영역과 대응하는 것으로 판단,Polygon,1346193.9
92,서서울호수공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1855,문화공원(서서울호수),자동 매칭 high,Polygon,219181.96
94,솔밭근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0504,근린공원(솔밭),자동 매칭 high,Polygon,33081.8
98,발바닥공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0584,소공원(발바닥공원),자동 매칭 high,MultiPolygon,19854.2
99,월천근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0564,근린공원(월천),자동 매칭 high,Polygon,10711.85
101,상암근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0908,근린공원(상암<시공원>),자동 매칭 high,Polygon,165143.14
103,금호근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0188,근린공원(금호),자동 매칭 high,Polygon,13548.45
105,문정근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0032,근린공원(문정동근린공원),자동 매칭 high,MultiPolygon,52991.06
107,세종로공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0095,광장(세종로광장),자동 매칭 high,Polygon,8849.49
110,푸른수목원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0025,근린공원(푸른수목원),자동 매칭 high,Polygon,96225.35
112,청계산도시자연공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0003,도시자연공원((청계산)<서울대공원>),자동 매칭 high,Polygon,2358213.01
115,인능산도시자연공원,seoul_shapefile,manual_multi_polygon,3,생활서비스시설_공원_1497|생활서비스시설_공원_1545|생활서비스시설_공원_1539,도시자연공원(인능산1<시공원>)|도시자연공원(인능산2<시공원>)|도시자연공원(인능산3<시공원>),"인능산도시자연공원은 인능산1, 인능산2, 인능산3 Polygon을 함께 사용",MultiPolygon,2543403.8
117,우면산도시자연공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1556,도시자연공원(우면산<시공원>),자동 매칭 high,Polygon,3792019.81
121,청담근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1631,근린공원(청담),자동 매칭 high,Polygon,59347.72
123,GTX연신849광장(구 물빛공원),seoul_shapefile,automatic_high,1,생활서비스시설_공원_0784,기타공원(연신내물빛),자동 매칭 high,Polygon,2084.11
124,숭인근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0070,근린공원(숭인),자동 매칭 high,Polygon,42657.85
45,도곡근린공원,osm,osm_fallback,1,369972508,도곡근린공원,서울시 Shapefile에서 신뢰 가능한 Polygon을 찾지 못해 OSM 후보를 수동 검증 후 사용,Polygon,306009.13
90,서울창포원,osm,osm_fallback,1,303964376,서울창포원,서울시 Shapefile에서 신뢰 가능한 Polygon을 찾지 못해 OSM 후보를 수동 검증 후 사용,Polygon,61674.15
93,중랑캠핑숲,osm,osm_fallback,1,544146098,중랑캠핑숲,서울시 Shapefile에서 신뢰 가능한 Polygon을 찾지 못해 OSM 후보를 수동 검증 후 사용,Polygon,189268.73
96,금천폭포근린공원,osm,osm_fallback,1,479257410,금천폭포공원,서울시 Shapefile에서 신뢰 가능한 Polygon을 찾지 못해 OSM 후보를 수동 검증 후 사용,Polygon,5076.52
100,용두근린공원,osm,osm_fallback,1,416569028,용두공원,서울시 Shapefile에서 신뢰 가능한 Polygon을 찾지 못해 OSM 후보를 수동 검증 후 사용,Polygon,17151.58
102,와우근린공원,osm,osm_fallback,1,216906544,와우근린공원,서울시 Shapefile에서 신뢰 가능한 Polygon을 찾지 못해 OSM 후보를 수동 검증 후 사용,Polygon,91578.33
127,문화비축기지,osm,osm_fallback,1,690412540,문화비축기지,서울시 Shapefile에서 신뢰 가능한 Polygon을 찾지 못해 OSM 후보를 수동 검증 후 사용,Polygon,76393.55
129,율현공원,osm,osm_fallback,1,611808438,율현공원,서울시 Shapefile에서 신뢰 가능한 Polygon을 찾지 못해 OSM 후보를 수동 검증 후 사용,Polygon,102982.55
9,응봉공원 (대현산배수지공원),osm,osm_replacement,1,381793811,대현산 배수지공원,서울시 Polygon 면적이 공식 면적의 약 2.13배였으나 OSM 대현산 배수지공원은 공식 면적과 거의 일치하여 교체,Polygon,74604.85
95,금천체육공원(관악산),osm,osm_replacement,1,385989548,금천체육공원,"서울시 Polygon이 관악산 전체 영역으로 과대 매칭되어 있었고 OSM 금천체육공원은 이름, 위치, 면적이 모두 일치하여 교체",Polygon,16964.92
108,샘말공원(관악산근린공원 샘말지구),osm,osm_replacement,1,471343618,샘말공원,서울시 Polygon이 관악산 전체 영역으로 과대 매칭되어 OSM 샘말공원 Polygon으로 교체,Polygon,7620.41
119,신사근린공원,osm,osm_replacement,1,223356722,신사근린공원,서울시 Polygon이 신사2동 마을마당으로 잘못 매칭되어 OSM 신사근린공원 Polygon으로 교체,Polygon,108757.45
122,허브천문공원,osm,osm_replacement,1,672784474,일자산허브천문공원,"서울시 데이터에서는 일자산 전체 parent Polygon이 매칭되어 공식 면적보다 크게 잡혔으며, OSM의 일자산허브천문공원이 이름과 위치가 일치하여 교체. OSM 경계 면적은 공식 면적보다 크므로 경계 정의 차이 가능성이 있음.",Polygon,109559.0
106,문화예술공원,osm,osm_replacement,1,370130119,서초문화예술공원,"기존 서울시 Shapefile에서는 근린공원(시민의숲) 전체 Polygon이 매칭되어 공식 면적보다 약 3.54배 크게 잡힘. OSM의 서초문화예술공원은 이름과 위치가 일치하고 대표 좌표를 포함하며, 면적 71,941.94㎡로 공식 면적 74,385㎡와 약 3.3% 차이이므로 대상 공원의 개별 Polygon으로 판단하여 교체.",Polygon,71941.94
